ID ACTIVAS,CLIENTES,MARCA,AÑO
6632,ACCIONA,International,2019
10305,YFAI TO,Volkswagen,2020
12724,MAHLE BR 2,Mercedes,2023
15063,YFAI DERRAMADERO,International,2024
5519,WOOBOTECH,International,2018
6374,WOOBOTECH,International,2019
12722,DAIMLER,Mercedes,2023
7781,SAINT-GOBAIN,Mercedes,2020
6601,YFAI RAMOS,International,2019
10303,WINDSOR MACHINE MEXICO,Volkswagen,2020
12721,JOHN DEERE SALTILLO,Mercedes,2023
2919,DISPONIBLE,Dina,2014
399,DISPONIBLE,Volkswagen,2009
6600,MAGNA CLOUSURES,International,2019
10302,YFAI TO,Volkswagen,2020
12720,CVG,Mercedes,2023
6290,TUPY RAMOS,International,2019
3421,LIPU SALTILLO,Volkswagen,2011
6372,DISPONIBLE,International,2019
10301,CVG,Volkswagen,2020
15049,BECARIOS DAIMLER,Nissan,2024
15008,YFAI STA MARIA 2,International,2024
6348,TUPY SALTILLO,International,2019
10300,YFAI TO,Volkswagen,2020
13266,YFAI STA MARIA,International,2023
15113,MAPESA,Nissan,2024
6347,GRIMALDI,International,2019
3962,GANFER SALTILLO,Dina,2015
3961,GANFER SALTILLO,Dina,2015
3960,GANFER SALTILLO,Dina,2015
10299,YFAI TO,Volkswagen,2020
13224,TRANFERENCIA,International,2023
6294,YFAI RAMOS,International,2019
3959,GANFER SALTILLO,Dina,2015
3958,GANFER SALTILLO,Dina,2015
10298,DAIMLER,Volkswagen,2020
14262,JOHN DEERE SALTILLO,International,2024
6345,WOOBOTECH,International,2019
6132,YFAI RAMOS,Volkswagen,2018
12402,MAHLE PISTONES,Volkswagen,2023
14261,SAINT-GOBAIN,International,2024
6288,TUPY RAMOS,International,2019
6344,YFAI RAMOS,International,2019
4903,TUPY RAMOS,International,2017
5951,APTIV CENTEC 1,Volkswagen,2018
10349,MABE SALTILLO,Volkswagen,2020
5285,TUPY RAMOS,International,2018
6287,TUPY RAMOS,International,2019
4902,TUPY RAMOS,International,2017
4627,YFAI STA MARIA 2,International,2017
10342,APTIV CENTEC 2,Volkswagen,2020
14259,YFAI STA MARIA 2,International,2024
15225,YFAI DERRAMADERO,Mercedes,2024
6293,VASCOR,International,2019
4901,TUPY SALTILLO,International,2017
10350,MABE SALTILLO,Volkswagen,2020
15451,YFAI STA MARIA,International,2025
6286,ACCIONA,International,2019
4728,TUPY SALTILLO,International,2017
12044,VASCOR,Mercedes,2022
10323,YFAI TO,Volkswagen,2020
15452,MAGNA POWERTRAIN,International,2025
5744,NOVA STEEL,Mercedes,2018
6401,WOOBOTECH,International,2019
10322,WINDSOR MACHINE MEXICO,Volkswagen,2020
4881,GRIMALDI,International,2017
11964,MAHLE PISTONES,Volkswagen,2023
14244,YFAI STA MARIA 2,International,2024
15454,MAGNA POWERTRAIN,International,2025
3825,GANFER SALTILLO,International,2013
12042,CVG,Mercedes,2022
10321,JOHN DEERE SALTILLO,Volkswagen,2020
15453,OIEGSA,International,2025
6319,TUPY RAMOS,International,2019
10320,YFAI TO,Volkswagen,2020
10319,YFAI TO,Volkswagen,2020
4440,ACCIONA,International,2016
6422,WOOBOTECH,International,2019
10318,JOHN DEERE SALTILLO,Volkswagen,2020
10317,WINDSOR MACHINE MEXICO,Volkswagen,2020
14218,JOHN DEERE SALTILLO,International,2024
6350,TUPY RAMOS,International,2019
10316,YFAI TO,Volkswagen,2020
14217,JOHN DEERE SALTILLO,International,2024
6351,MAGNA CLOUSURES,International,2019
6639,GANFER SALTILLO,International,2019
10315,YFAI TO,Volkswagen,2020
15399,CVG,Nissan,2024
15194,YFAI STA MARIA 2,International,2024
6349,TUPY RAMOS,International,2019
10314,SAINT-GOBAIN,Volkswagen,2020
13871,MABE SALTILLO,Volkswagen,2024
15405,CVG,Nissan,2024
15193,YFAI STA MARIA 2,International,2024
4666,VASCOR,International,2016
11589,NOVA STEEL,Nissan,2022
10313,SAINT-GOBAIN,Volkswagen,2020
13870,MABE SALTILLO,Volkswagen,2024
15404,MABE SALTILLO,Nissan,2024
6122,MAGNA CLOUSURES,International,2019
11590,GRIMALDI,Nissan,2022
10312,WINDSOR MACHINE MEXICO,Volkswagen,2020
13869,MABE SALTILLO,Volkswagen,2024
14832,YFAI STA MARIA 2,Volkswagen,2024
6733,MAGNA CLOUSURES,International,2019
10311,YFAI TO,Volkswagen,2020
15400,CVG,Nissan,2024
14831,YFAI STA MARIA 2,Volkswagen,2024
